"V1","V2"
"Anita Thanei","Hans Zbinden"
"Armin Jans","Hans Zbinden"
"Boris Banga","Hans Zbinden"
"Christine Goll","Hans Zbinden"
"Didier Berberat","Hans Zbinden"
"Doris Stump","Hans Zbinden"
"Elmar Ledergerber","Hans Zbinden"
"Ernst Leuenberger","Hans Zbinden"
"Erwin Jutzet","Hans Zbinden"
"Francine Jeanprêtre","Hans Zbinden"
"Franco Cavalli","Hans Zbinden"
"François Borel","Hans Zbinden"
"Hans Widmer","Hans Zbinden"
"Albrecht Rychen","Hanspeter Seiler"
"Ernst Hasler","Hanspeter Seiler"
"Hans Fehr","Hanspeter Seiler"
"Hans Rudolf Gysin","Hanspeter Seiler"
"Anita Thanei","Hanspeter Thür"
"Flavio Maspoli","Hanspeter Thür"
"Franziska Teuscher","Hanspeter Thür"
"Hans Zbinden","Hanspeter Thür"
"Adalbert Durrer","Hansueli Raggenbass"
"Albrecht Rychen","Hansueli Raggenbass"
"Brigitta M. Gadient","Hansueli Raggenbass"
"Christine Egerszegi-Obrist","Hansueli Raggenbass"
"Dumeni Columberg","Hansueli Raggenbass"
"Eugen David","Hansueli Raggenbass"
"François Lachat","Hansueli Raggenbass"
"Hans Ruckstuhl","Hansueli Raggenbass"
"Hans Rudolf Gysin","Hansueli Raggenbass"
"Hans Werner Widrig","Hansueli Raggenbass"
"Andreas Gross","Hansueli von Allmen"
"Anita Thanei","Hansueli von Allmen"
"Armin Jans","Hansueli von Allmen"
"Barbara Haering","Hansueli von Allmen"
"Claude Frey","Hansueli von Allmen"
"Didier Berberat","Hansueli von Allmen"
"Andreas Gross","Helmut Hubacher"
"Anita Thanei","Helmut Hubacher"
"Armin Jans","Helmut Hubacher"
"Didier Berberat","Helmut Hubacher"
"Franco Cavalli","Helmut Hubacher"
"François Borel","Helmut Hubacher"
"Claude Frey","Hermann Weyeneth"
"Flavio Maspoli","Hermann Weyeneth"
"Hans Fehr","Hermann Weyeneth"
"Hans Rudolf Gysin","Hermann Weyeneth"
"Alexander Tschäppät","Hildegard Fässler-Osterwalder"
"Andrea Hämmerle","Hildegard Fässler-Osterwalder"
"Andreas Gross","Hildegard Fässler-Osterwalder"
"Anita Thanei","Hildegard Fässler-Osterwalder"
"Armin Jans","Hildegard Fässler-Osterwalder"
"Christine Keller","Hildegard Fässler-Osterwalder"
"Didier Berberat","Hildegard Fässler-Osterwalder"
"Flavio Maspoli","Hildegard Fässler-Osterwalder"
"François Borel","Hildegard Fässler-Osterwalder"
"Hans Zbinden","Hildegard Fässler-Osterwalder"
"Claude Frey","Hubert Lauper"
"Cécile Bühlmann","Hugo Fasel"
"Erwin Jutzet","Hugo Fasel"
"Franziska Teuscher","Hugo Fasel"
"Hans Meier","Hugo Fasel"
"Hanspeter Thür","Hugo Fasel"
"Claude Frey","J. Alexander Baumann"
"Ernst Hasler","J. Alexander Baumann"
"François Loeb","J. Alexander Baumann"
"Hans Fehr","J. Alexander Baumann"
"Hans Rudolf Gysin","J. Alexander Baumann"
"Agnes Weber","Jacqueline Fehr"
"Alexander Tschäppät","Jacqueline Fehr"
"Andreas Gross","Jacqueline Fehr"
"Angeline Fankhauser","Jacqueline Fehr"
"Anita Thanei","Jacqueline Fehr"
"Barbara Haering","Jacqueline Fehr"
"Boris Banga","Jacqueline Fehr"
"Christine Keller","Jacqueline Fehr"
"Didier Berberat","Jacqueline Fehr"
"Doris Stump","Jacqueline Fehr"
"Ernst Leuenberger","Jacqueline Fehr"
"Erwin Jutzet","Jacqueline Fehr"
"Franco Cavalli","Jacqueline Fehr"
"François Borel","Jacqueline Fehr"
